mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
70,0.695,0.0007756917149486255,0.00015297420489173019,1.9423134584710851e-07,3.638179485731247e-08,5.07073539292218,3046.257799716378,0.0684465625,0.0684465625
71,0.705,0.0007351312969817075,0.00014543095138671642,1.9067098255973328e-07,3.5279442253862805e-08,5.054847609618636,3036.7131715592514,0.0684465625,0.0684465625
72,0.715,0.0006967573649781451,0.00013826536449285538,1.901918322741117e-07,3.518323394158794e-08,5.039276231858839,3027.358624875683,0.0684465625,0.0684465625
73,0.725,0.0006605898242093553,0.00013148717774022392,1.712611974162648e-07,3.283183562169413e-08,5.023986639324383,3018.173361417135,0.0684465625,0.0684465625
74,0.735,0.0006262931169485395,0.00012504070904677204,1.6353523166621678e-07,3.14471785059628e-08,5.008713735894378,3008.9981239825597,0.0591986875,0.0783330625
75,0.745,0.0005939338187530888,0.00011893810951993773,1.6444056735514625e-07,3.214095136597844e-08,4.993637625066901,2999.9411102283625,0.0591986875,0.0735263125
76,0.755,0.0005633707196444422,0.00011314926973415074,1.5311226520856424e-07,3.04459713399906e-08,4.979004468770385,2991.1502025890186,0.0684465625,0.0684465625
77,0.765,0.0005344390065549823,0.00010765344384202981,1.3906612952473175e-07,2.8561773587452595e-08,4.964439478027435,2982.400245587626,0.0648536875,0.08193568749999999
78,0.775,0.0005070727094970347,0.0001024366412666298,1.4486613022671164e-07,2.9066660351795744e-08,4.95011065598283,2973.7921675611033,0.06775918750000001,0.08193568749999999
79,0.785,0.00048118846004862866,9.748596972425461e-05,1.4767121915660546e-07,2.9312041245379497e-08,4.935976545237242,2965.3010628663283,0.06775918750000001,0.08193568749999999
80,0.795,0.00045672297939968636,9.278985866561852e-05,1.441656423012715e-07,2.8948923039380873e-08,4.922121727176595,2956.977743996287,0.0648536875,0.08193568749999999
81,0.805,0.000433555818851913,8.833086677228252e-05,1.463093679718096e-07,2.9329526545901296e-08,4.908316137886684,2948.683999441449,0.0591986875,0.0842220625
